Designator,Mid X,Mid Y,Rotation,Layer
C1,182.4,-114.6,0.0,top
C201,171.425,-132.75,0.0,top
C202,166.175,-132.75,180.0,top
C203,141.25,-124.25,-90.0,top
C304,152.0,-110.82,90.0,top
C305,148.72,-120.05,180.0,top
C306,158.5,-123.72,-90.0,top
C307,148.8,-114.1,180.0,top
C308,161.95,-113.02,90.0,top
C309,148.8,-112.8,180.0,top
C310,149.2,-115.7,90.0,top
C311,149.2,-118.17,-90.0,top
C501,161.175,-102.6,180.0,top
C502,153.675,-103.6,180.0,top
C503,155.4,-106.8,180.0,top
D201,176.7,-126.5,180.0,top
D202,160.75,-133.85,0.0,top
D501,139.6,-89.0,-90.0,top
D502,142.6,-88.95,90.0,top
D503,139.6,-105.05,90.0,top
D504,142.7,-105.05,-90.0,top
D505,175.7,-88.9,-90.0,top
D506,172.4,-88.9,90.0,top
D507,175.75,-105.05,90.0,top
D508,172.4,-105.05,-90.0,top
FB201,175.5,-130.2,180.0,top
J401,134.0,-123.0,-90.0,top
J402,182.4,-123.0,90.0,top
J403,134.525,-90.75,-90.0,top
J404,150.5,-132.8,180.0,top
J405,180.475,-103.25,90.0,top
Q201,159.25,-129.65,180.0,top
R1,175.15,-120.35,-90.0,top
R201,157.15,-133.85,180.0,top
SW1,181.7,-111.0,0.0,top
SW2,131.8,-113.75,-90.0,top
U1,155.7,-117.3,0.0,top
U201,168.25,-127.25,90.0,top
U401,176.5,-122.64,0.0,top
U501,157.9,-92.6,0.0,top
Y301,146.7,-117.0,-90.0,top
